timestamp_s,power_w
0.000001,43.078
0.050274,43.078
0.100546,44.583
0.150713,44.583
0.200968,59.044
0.251182,59.044
0.301634,60.28
0.351820,60.28
0.401983,61.125
0.452165,61.125
0.502341,70.65
0.552551,70.65
0.602710,73.562
0.652878,73.562
0.703047,73.234
0.753220,73.234
0.803391,73.275
0.853583,73.275
0.903748,73.401
0.953923,73.401
1.004111,73.446
1.054287,73.446
1.104513,73.724
1.154708,73.724
1.204891,73.972
1.255082,73.972
1.305259,74.031
1.355439,74.031
1.405634,73.473
1.455807,73.473
1.505968,73.234
1.556134,73.234
1.606305,72.495
1.656472,72.495
1.706631,72.351
1.756804,72.351
1.806980,72.189
1.857153,72.189
1.907327,72.328
1.957538,72.328
2.007686,72.625
2.057859,72.625
2.108021,72.921
2.158184,72.921
2.208336,72.827
2.258520,72.827
2.308781,72.656
2.358939,72.656
2.409248,72.562
2.459415,72.562
2.509584,72.984
2.559737,72.984
2.609899,73.412
2.660065,73.412
2.710222,73.903
2.760382,73.903
2.810544,73.673
2.860699,73.673
2.910851,73.106
2.960999,73.106
3.011141,72.292
3.061290,72.292
3.111438,71.513
3.161591,71.513
3.211738,71.207
3.261894,71.207
3.312033,71.104
3.362209,71.104
3.412349,71.269
3.462556,71.269
3.512699,71.287
3.562875,71.287
3.613133,71.32
3.663341,71.32
3.713533,71.387
3.763707,71.387
3.813887,71.76
3.864102,71.76
3.914746,72.27
3.964924,72.27
4.015088,72.459
4.065250,72.459
4.115394,72.716
4.165550,72.716
4.215701,72.847
4.265875,72.847
4.316021,72.248
4.366187,72.248
4.416335,71.212
4.466545,71.212
4.516687,70.966
4.566831,70.966
4.616969,71.074
4.667162,71.074
4.717302,71.37
4.767476,71.37
4.817646,71.235
4.867813,71.235
4.917994,71.343
4.968164,71.343
5.018340,71.384
5.068548,71.384
5.118726,71.933
5.168981,71.933
5.219253,72.441
5.269427,72.441
5.319606,72.652
5.369872,72.652
5.420305,72.823
5.470479,72.823
5.520622,73.377
5.570766,73.377
5.620908,72.449
5.671054,72.449
5.721205,72.278
5.771348,72.278
5.821506,72.138
5.871656,72.138
5.921803,72.417
5.971936,72.417
6.022109,72.304
6.072240,72.304
6.122410,72.214
6.172543,72.214
6.222713,72.124
6.272887,72.124
6.323017,72.097
6.373199,72.097
6.425392,72.07
6.475699,72.07
6.525888,71.849
6.576261,71.849
6.626426,71.633
6.676594,71.633
6.726758,72.02
6.776942,72.02
6.827114,71.777
6.877298,71.777
6.927440,71.786
6.977599,71.786
7.027768,71.71
7.077952,71.71
7.128112,72.03
7.178271,72.03
7.228437,71.958
7.278613,71.958
7.328797,71.868
7.378972,71.868
7.429122,71.706
7.479285,71.706
7.529452,71.756
7.579603,71.756
7.629757,72.172
7.679921,72.172
7.730097,72.235
7.780263,72.235
7.830446,72.199
7.880659,72.199
7.931016,71.837
7.981185,71.837
8.031385,71.873
8.081567,71.873
8.131745,71.909
8.181951,71.909
8.232151,71.756
8.282349,71.756
8.332560,72.039
8.382730,72.039
8.432904,71.972
8.483074,71.972
8.533251,72.012
8.583427,72.012
8.633607,72.16
8.683790,72.16
8.733964,72.263
8.784155,72.263
8.834332,72.401
8.884517,72.401
8.934682,72.649
8.984869,72.649
9.035045,72.349
9.085276,72.349
9.135573,72.25
9.185747,72.25
9.235919,72.349
9.286092,72.349
9.336273,72.484
9.386458,72.484
9.436635,72.183
9.486817,72.183
9.536991,72.282
9.587157,72.282
9.637341,72.224
9.687552,72.224
9.737718,71.936
9.787883,71.936
9.838048,71.541
9.888213,71.541
9.938405,71.244
9.988656,71.244
10.038807,71.373
10.089008,71.373
10.139382,72.463
10.189559,72.463
10.239744,72.657
10.289923,72.657
10.340087,72.49
10.390234,72.49
10.440416,72.224
10.490579,72.224
10.540738,72.386
10.590905,72.386
10.641069,72.314
10.691260,72.314
10.741448,71.953
10.791628,71.953
10.841803,71.666
10.891979,71.666
10.942145,71.318
10.992302,71.318
11.042591,72.057
11.092785,72.057
11.143039,72.427
11.193195,72.427
11.243454,72.517
11.293632,72.517
11.343806,72.292
11.393996,72.292
11.444184,72.153
11.494389,72.153
11.544579,72.293
11.594752,72.293
11.644933,72.266
11.695119,72.266
11.745352,72.027
11.795571,72.027
11.845739,71.934
11.895910,71.934
11.946073,71.604
11.996204,71.604
12.046435,72.545
12.096599,72.545
12.146825,72.666
12.197008,72.666
12.247241,72.702
12.297457,72.702
12.347638,72.513
12.397838,72.513
12.448034,72.432
12.498233,72.432
12.548411,72.603
12.598589,72.603
12.648758,72.279
12.698917,72.279
12.749069,71.81
12.799225,71.81
12.849391,71.265
12.899550,71.265
12.949703,71.913
12.999863,71.913
13.050039,72.823
13.100229,72.823
13.150418,72.783
13.200583,72.783
13.250826,72.563
13.300984,72.563
13.351144,72.441
13.401310,72.441
13.451514,72.459
13.501692,72.459
13.551854,72.4
13.602018,72.4
13.652182,71.775
13.702344,71.775
13.752531,71.23
13.802700,71.23
13.852857,71.613
13.903014,71.613
13.953175,72.545
14.003339,72.545
14.053536,72.68
14.103719,72.68
14.153938,72.527
14.204296,72.527
14.254467,72.396
14.304621,72.396
14.354772,72.607
14.404929,72.607
14.455096,72.211
14.505266,72.211
14.555434,71.706
14.605618,71.706
14.655777,70.909
14.705960,70.909
14.756135,71.431
14.806308,71.431
14.856483,72.218
14.906657,72.218
14.956817,72.2
15.006979,72.2
15.057206,72.076
15.107401,72.076
15.157586,71.959
15.207749,71.959
15.257914,71.684
15.308081,71.684
15.358245,71.261
15.408407,71.261
15.458585,70.293
15.508749,70.293
15.558911,70.581
15.609077,70.581
15.659215,71.122
15.709392,71.122
15.759565,72.086
15.809784,72.086
15.859946,72.05
15.910176,72.05
15.960348,72.018
16.010569,72.018
16.060758,71.753
16.110959,71.753
16.161140,71.369
16.211322,71.369
16.261539,70.347
16.311715,70.347
16.361890,70.666
16.412078,71.251
16.462260,71.251
16.512448,72.066
16.562627,72.066
16.612799,72.143
16.662990,72.143
16.713283,72.107
16.763504,72.107
16.813690,71.611
16.863866,71.611
16.914053,71.17
16.964245,71.17
17.014400,70.676
17.064601,70.676
17.114790,71.027
17.164951,71.027
17.215109,71.697
17.265275,71.697
17.315425,72.558
17.365591,72.558
17.415738,72.58
17.465894,72.58
17.516052,72.647
17.566241,72.647
17.616427,72.228
17.666634,72.228
17.716826,71.68
17.767016,71.68
17.817213,71.342
17.867859,71.342
17.918040,71.779
17.968223,71.779
18.018412,72.54
18.068604,72.54
18.118780,73.03
18.168964,73.03
18.219140,73.214
18.269316,73.214
18.319520,72.927
18.369691,72.927
18.419961,72.612
18.470149,72.612
18.520329,72.076
18.570539,72.076
18.620702,71.382
18.670889,71.382
18.721061,71.801
18.771235,71.801
18.821406,72.628
18.871597,72.628
18.921757,72.849
18.971921,72.849
19.022085,72.921
19.072276,72.921
19.122473,72.849
19.172670,72.849
19.222878,72.619
19.273160,72.619
19.323330,71.899
19.373730,71.899
19.423880,71.301
19.474042,71.301
19.524201,71.598
19.574345,71.598
19.624561,72.358
19.674768,72.358
19.724972,72.908
19.775142,72.908
19.825312,72.89
19.875499,72.89
19.925671,72.675
19.975825,72.675
20.025981,72.256
20.076134,72.256
20.126277,71.652
20.176506,71.652
20.226681,71.17
20.276850,71.17
20.327017,71.341
